Timestamp,1. Gender,2. Age ,3. Where do you live? (District),4. What's your occupation?,5. What's your Education Level? ,6. What's your Monthly income?,7. How did you get to know about mobile banking?,8. How long have you been using mobile banking for?,"9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?",10. What types of accounts do you have? ,11. What is the type of bank you use for mobile banking application?,12.  What kind of operations are you doing using the mobile application? ,13. How often do you use the mobile application to do the above-mentioned tasks ?,14. How far is the bank branch where you do business (or live)?,"15. Do you generally send, receive, or do both send and receive?",16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to navigate],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to understand],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a payment],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make transfer money],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a balance inquiry],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think that you will save time by using a mobile banking application?],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?],17. Please rate your knowledge of Your Mobile banking services. ,18. How satisfied were you with the current banking application? *Both presented and pre-read material,19. How can the mobile banking apps could be improved to fit your needs well?,20. Do you recommend other users to use mobile banking apps? 
03/11/2020 23:17:05,Male,31 - 40,Kandy,Private Sector Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,1,1,1,1,1,1,1,5,5,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
03/11/2020 23:18:23,Male,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Friends,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Open Fixed deposits",Weekly,more than 5Km,Both,5,5,4,3,5,5,5,4,4,"Add more features, Better User Interface",Yes
05/11/2020 08:28:59,Male,19 -30,Hambantota,Private Sector Job,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Savings Account,Private,"Transfer money to the other accounts, Pay utility bills",Once in two weeks,1Km to 5Km,Both,3,3,3,3,3,3,3,4,4,"Keep it Simple, Add more features, Lightweight and speed",Yes
05/11/2020 08:37:39,Male,19 -30,Gampaha,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,3,4,3,4,3,3,3,4,3,"Lightweight and speed, Better User Interface",Yes
05/11/2020 08:42:19,Prefer not to say,19 -30,Colombo,Private Sector Job,Diploma,"100,000 - 150,000",Self,5 years or more,Separate,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,100m to 1Km,Send,1,1,1,2,3,3,3,5,1,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:43:06,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,1Km to 5Km,Both,4,4,4,4,4,5,4,4,4,"Keep it Simple, Lightweight and speed, More value added services",Yes
05/11/2020 08:43:16,Male,19 -30,Colombo,Private Sector Job,Degree or above,"200,000+",Friends,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Weekly,1Km to 5Km,Both,3,3,3,3,3,4,4,5,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:45:14,Female,19 -30,Galle,Private Sector Job,Degree or above,"Below 50,000",Internet or Article,Less than a year,,Savings Account,Private,Pay utility bills,Monthly,more than 5Km,Receive,4,4,4,4,4,4,3,4,3,"Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 08:49:54,Male,19 -30,Gampaha,Private Sector Job,Diploma,"150,000 to 200,000",Friends,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,more than 5Km,Send,1,1,1,1,1,1,1,4,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:51:08,Female,19 -30,Kegalle,Private Sector Job,Degree or above,"100,000 - 150,000",Self,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,more than 5Km,Both,4,4,4,4,4,5,4,5,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 08:51:13,Male,41 - 50,Colombo,Private Sector Job,MSc,"200,000+",Self,5 years or more,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Both,3,3,3,3,3,5,4,4,4,"Keep it Simple, Add more features, More value added services, Better User Interface",Yes
05/11/2020 08:53:35,Male,19 -30,Kandy,Private Sector Job,Degree or above,"150,000 to 200,000",Advertisement,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Investments",Daily,more than 5Km,Both,1,1,1,1,1,1,3,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 08:53:57,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,5 years or more,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,5,5,5,5,5,5,5,5,5,"Keep it Simple, Lightweight and speed, More value added services, Free demo by the banks",Yes
05/11/2020 08:54:12,Male,19 -30,Gampaha,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,Both,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Open Fixed deposits",Weekly,1Km to 5Km,Both,4,4,1,2,5,5,5,5,3,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:54:26,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts",Monthly,100m to 1Km,Both,4,3,4,3,3,4,3,4,3,Lightweight and speed,Yes
05/11/2020 08:55:12,Male,31 - 40,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Self,5 years or more,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts",Once in two weeks,100m to 1Km,Both,4,4,4,4,4,5,3,4,4,"Keep it Simple, More value added services, Better User Interface",Yes
05/11/2020 08:56:29,Male,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, International payments",Weekly,100m to 1Km,Both,2,1,4,4,4,5,5,3,2,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 08:56:37,Female,41 - 50,Colombo,Self-Employed,Degree or above,"200,000+",Internet or Article,One year to five years,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,1Km to 5Km,Both,5,5,5,5,5,5,5,5,5,"Keep it Simple, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 09:00:40,Female,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Friends,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, International payments",Monthly,100m to 1Km,Both,4,4,2,2,4,4,3,4,3,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 09:00:56,Male,19 -30,Jaffna,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,1Km to 5Km,Both,4,4,4,4,4,4,3,4,4,"Keep it Simple, Add more features, Lightweight and speed",Yes
05/11/2020 09:02:03,Female,19 -30,Colombo,Government Job,Degree or above,"Below 50,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,4,4,5,5,5,5,5,4,4,"Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:03:07,Female,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Send,5,4,4,4,4,5,5,4,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:10:49,Female,31 - 40,Kandy,Private Sector Job,A/L,"50,000 - 100,000",Advertisement,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,4,5,4,4,5,5,4,3,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:12:01,Female,19 -30,Galle,Private Sector Job,Degree or above,"Below 50,000",Internet or Article,Less than a year,,Savings Account,Private,Pay utility bills,Monthly,more than 5Km,Receive,4,4,4,4,4,4,3,4,3,"Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 09:14:13,Male,31 - 40,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Self,5 years or more,Separate,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,3,3,5,2,5,5,3,5,3,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 09:18:45,Male,41 - 50,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Self,One year to five years,Separate,Savings Account,Private,"Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Both,3,3,3,3,4,5,3,3,2,"Keep it Simple, Better User Interface, Free demo by the banks",Yes
05/11/2020 09:21:16,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, Pension fund management",Weekly,1Km to 5Km,Both,5,5,5,5,5,5,5,5,5,"Keep it Simple, Better User Interface",Yes
05/11/2020 09:23:44,Male,41 - 50,Colombo,Self-Employed,Degree or above,"200,000+",Self,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Pay utility bills",Rarely,1Km to 5Km,Both,2,2,2,2,3,2,3,5,2,"Keep it Simple, Lightweight and speed",No
05/11/2020 09:24:26,Male,19 -30,Colombo,Private Sector Job,Diploma,"50,000 - 100,000",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Pension fund management",Weekly,1Km to 5Km,Both,4,4,4,4,4,4,4,5,4,"Keep it Simple, Add more features, More value added services",Yes
05/11/2020 09:26:08,Female,19 -30,Hambantota,Government Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts",Monthly,100m to 1Km,Both,3,3,3,3,3,4,2,4,3,"Keep it Simple, Lightweight and speed",Yes
05/11/2020 09:27:08,Male,31 - 40,Hambantota,Private Sector Job,Degree or above,"50,000 - 100,000",Advertisement,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Investments, International payments",Once in two weeks,1Km to 5Km,Both,3,3,4,4,4,4,2,3,4,"Keep it Simple, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 09:31:52,Female,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Advertisement,One year to five years,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,1Km to 5Km,Both,3,4,4,4,4,4,3,3,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:33:47,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"50,000 - 100,000",Self,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,less than 100m,Both,2,2,1,1,2,1,2,4,3,"Add more features, Lightweight and speed, Free demo by the banks",Yes
05/11/2020 09:35:43,Female,19 -30,Gampaha,Private Sector Job,Degree or above,"150,000 to 200,000",Friends,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Investments, International payments",Monthly,more than 5Km,Both,4,4,4,4,4,4,4,4,4,Better User Interface,Yes
05/11/2020 09:36:26,Male,19 -30,Ratnapura,Private Sector Job,Degree or above,"100,000 - 150,000",Self,One year to five years,Separate,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,5,4,5,5,5,5,5,5,3,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 09:50:48,Female,31 - 40,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,Separate,Both,Private,"Checking bank balance, Transfer money to the other accounts",Weekly,100m to 1Km,Receive,4,4,4,5,5,4,3,3,3,"Keep it Simple, More value added services, Better User Interface",Yes
05/11/2020 09:58:32,Female,19 -30,Kalutara,Government Job,Degree or above,"Below 50,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,1Km to 5Km,Both,5,5,5,5,5,4,5,5,4,"Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 10:00:05,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,100m to 1Km,Both,4,4,4,4,4,4,4,5,5,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 10:02:01,Female,19 -30,Puttalam,Private Sector Job,Degree or above,"50,000 - 100,000",Internet or Article,Less than a year,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, International payments",Monthly,1Km to 5Km,Both,2,2,2,2,2,3,3,5,5,"Keep it Simple, Add more features, Lightweight and speed, Free demo by the banks",Yes
05/11/2020 10:08:08,Female,31 - 40,Gampaha,Private Sector Job,Degree or above,"150,000 to 200,000",Advertisement,Less than a year,Separate,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,1Km to 5Km,Both,1,1,1,1,1,1,1,5,5,More value added services,Yes
05/11/2020 10:13:37,Female,19 -30,Galle,Private Sector Job,Degree or above,"100,000 - 150,000",Advertisement,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Weekly,100m to 1Km,Both,2,2,2,2,3,3,3,4,3,"Keep it Simple, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 10:15:44,Male,19 -30,Gampaha,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Once in two weeks,100m to 1Km,Both,4,5,5,4,5,5,2,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Maybe
05/11/2020 10:18:03,Female,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,Less than a year,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts",Weekly,1Km to 5Km,Both,4,3,3,3,4,5,4,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services",Yes
05/11/2020 10:24:00,Male,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Self,One year to five years,Separate,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Weekly,1Km to 5Km,Both,4,3,4,4,4,4,3,5,1,"Keep it Simple, Lightweight and speed, More value added services",Yes
05/11/2020 10:25:29,Female,19 -30,Trincomalee,Private Sector Job,Degree or above,"50,000 - 100,000",Internet or Article,Less than a year,Separate,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts",Monthly,less than 100m,Both,5,5,4,4,4,5,2,4,4,"Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 10:31:39,Male,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, Pension fund management, Collect international payments",Weekly,100m to 1Km,Both,4,4,3,4,5,5,3,4,3,"Keep it Simple, Add more features, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 10:40:08,Male,19 -30,Kalutara,Private Sector Job,Degree or above,"200,000+",Internet or Article,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,1Km to 5Km,Both,5,3,3,3,5,5,5,5,3,"Keep it Simple, Add more features, Better User Interface, Using biometric to login (fingerprint, face ID)",Yes
05/11/2020 10:42:19,Male,31 - 40,Matara,Private Sector Job,Degree or above,"50,000 - 100,000",Friends,One year to five years,An addition,Savings Account,Private,Transfer money to the other accounts,Weekly,1Km to 5Km,Both,4,4,4,4,4,5,5,4,4,Better User Interface,Yes
05/11/2020 10:50:08,Male,19 -30,Galle,Private Sector Job,Diploma,"50,000 - 100,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Once in two weeks,1Km to 5Km,Both,4,4,3,3,4,2,4,4,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 10:50:46,Male,51 - 60,Kandy,Government Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,1Km to 5Km,Send,4,4,2,3,5,5,2,4,3,More value added services,Yes
05/11/2020 10:51:06,Male,51 - 60,Kandy,Government Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,1Km to 5Km,Send,4,4,2,3,5,5,2,4,3,More value added services,Yes
05/11/2020 10:55:19,Male,19 -30,Matara,Self-Employed,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Both,Private,"Transfer money to the other accounts, Pay utility bills, International payments",Daily,less than 100m,Send,3,4,5,5,5,5,5,5,4,Keep it Simple,Yes
05/11/2020 10:56:09,Female,19 -30,Kalutara,Government Job,Degree or above,"Below 50,000",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Investments, International payments",Monthly,1Km to 5Km,Both,4,4,4,4,4,4,4,5,4,Better User Interface,Yes
05/11/2020 10:59:41,Female,31 - 40,Kalutara,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Private,Checking bank balance,Once in two weeks,1Km to 5Km,Receive,3,3,3,3,3,3,3,4,3,Add more features,Yes
05/11/2020 11:00:24,Male,31 - 40,Kurunegala,Private Sector Job,Diploma,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Rarely,1Km to 5Km,Both,2,2,2,2,2,1,2,4,4,"Keep it Simple, Better User Interface, Free demo by the banks",Yes
05/11/2020 11:00:35,Male,19 -30,Gampaha,Private Sector Job,Degree or above,"200,000+",Friends,One year to five years,Separate,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,less than 100m,Both,3,3,3,3,3,3,3,4,4,Lightweight and speed,Yes
