Timestamp,1. Gender,2. Age ,3. Where do you live? (District),4. What's your occupation?,5. What's your Education Level? ,6. What's your Monthly income?,7. How did you get to know about mobile banking?,8. How long have you been using mobile banking for?,"9. Is your mobile banking service addition to an existing bank account or separate service(Mobile wallet, ex: frimi)?",10. What types of accounts do you have? ,11. What is the type of bank you use for mobile banking application?,12.  What kind of operations are you doing using the mobile application? ,13. How often do you use the mobile application to do the above-mentioned tasks ?,14. How far is the bank branch where you do business (or live)?,"15. Do you generally send, receive, or do both send and receive?",16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to navigate],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [My mobile banking menu is very easy to understand],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a payment],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make transfer money],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [It is easy to make a balance inquiry],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think that you will save time by using a mobile banking application?],16. How do you agree with the following statements? *1 = Strongly disagree 5 = Strongly agree [Do you think the mobile banking is secure with compared to the physically going to a bank and doing the operations?],17. Please rate your knowledge of Your Mobile banking services. ,18. How satisfied were you with the current banking application? *Both presented and pre-read material,19. How can the mobile banking apps could be improved to fit your needs well?,20. Do you recommend other users to use mobile banking apps? 
05/11/2020 11:00:58,Male,19 -30,Kalutara,Private Sector Job,Degree or above,"150,000 to 200,000",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Weekly,1Km to 5Km,Both,4,3,4,4,4,4,3,4,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 11:01:35,Male,19 -30,Anuradhapura,Private Sector Job,Degree or above,"200,000+",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,more than 5Km,Send,4,4,4,4,4,4,4,4,5,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 11:04:56,Male,19 -30,Kurunegala,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,4,4,5,5,5,5,4,5,4,"Keep it Simple, Lightweight and speed, Better User Interface",Maybe
05/11/2020 11:06:46,Female,19 -30,Gampaha,Private Sector Job,Diploma,"Below 50,000",Internet or Article,Less than a year,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Investments",Weekly,less than 100m,Both,3,3,3,3,3,2,3,5,5,"Keep it Simple, Add more features",Yes
05/11/2020 11:07:00,Male,19 -30,Ratnapura,Private Sector Job,Degree or above,"100,000 - 150,000",Advertisement,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, International payments",Weekly,100m to 1Km,Both,3,3,3,3,3,3,3,4,2,"Keep it Simple, Add more features, Lightweight and speed",Yes
05/11/2020 11:26:41,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,Less than a year,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Once in two weeks,1Km to 5Km,Both,3,3,3,3,5,5,4,5,4,"Keep it Simple, Add more features, Better User Interface, Free demo by the banks",Yes
05/11/2020 11:33:39,Female,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,100m to 1Km,Both,4,3,4,4,3,5,3,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services",Yes
05/11/2020 11:36:31,Male,19 -30,Puttalam,Self-Employed,Degree or above,"50,000 - 100,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,100m to 1Km,Both,3,3,3,5,5,5,4,4,4,"Keep it Simple, Lightweight and speed, Better User Interface",Yes
05/11/2020 12:06:42,Male,19 -30,Galle,Private Sector Job,Degree or above,"150,000 to 200,000",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Open Fixed deposits",Daily,more than 5Km,Both,4,4,5,5,5,5,4,4,4,"Keep it Simple, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 12:12:03,Female,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Investments",Daily,100m to 1Km,Both,4,4,5,5,5,5,5,4,4,"Add more features, More value added services",Yes
05/11/2020 12:16:21,Male,19 -30,Gampaha,Private Sector Job,Degree or above,"150,000 to 200,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Monthly,1Km to 5Km,Both,4,4,5,5,5,5,5,5,2,Banks should enable features like wallet where we can easily transfer money without handing over the cash. This is something like wechat used in china. Therefore we are not required to carry unnecessary amount of money on hand.,Yes
05/11/2020 12:19:03,Female,19 -30,Ratnapura,Government Job,Degree or above,"50,000 - 100,000",Self,Less than a year,An addition,Savings Account,Government,Checking bank balance,Rarely,100m to 1Km,Both,3,3,2,2,2,3,3,4,3,More value added services,Maybe
05/11/2020 12:28:43,Female,19 -30,Galle,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,4,4,4,4,4,4,3,4,4,"Keep it Simple, Add more features",Yes
05/11/2020 12:31:23,Female,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Daily,1Km to 5Km,Both,5,4,5,5,5,5,5,5,4,"Keep it Simple, Add more features, Lightweight and speed",Yes
05/11/2020 12:34:32,Female,31 - 40,Colombo,Government Job,Degree or above,"50,000 - 100,000",Self,Less than a year,,Savings Account,Private,Checking bank balance,Weekly,1Km to 5Km,Receive,3,3,3,3,3,3,3,2,3,Keep it Simple,Yes
05/11/2020 12:42:10,Female,31 - 40,Kandy,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,5 years or more,An addition,Savings Account,Private,Checking bank balance,Once in two weeks,100m to 1Km,Receive,4,4,3,4,5,5,2,3,4,"Keep it Simple, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 12:42:28,Female,19 -30,Colombo,Private Sector Job,Diploma,"100,000 - 150,000",Self,One year to five years,Separate,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments, Pension fund management",Daily,less than 100m,Both,4,4,4,4,4,5,4,5,4,"Keep it Simple, More value added services",Yes
05/11/2020 12:50:04,Female,19 -30,Colombo,Private Sector Job,Diploma,"Below 50,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,1,1,1,1,1,1,1,2,2,Keep it Simple,Yes
05/11/2020 12:50:45,Male,19 -30,Hambantota,Private Sector Job,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Weekly,1Km to 5Km,Both,3,3,2,2,3,1,2,4,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 12:51:29,Female,19 -30,Galle,Government Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,less than 100m,Both,5,5,5,5,5,5,4,5,4,"Keep it Simple, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 12:58:04,Female,19 -30,Kalutara,Private Sector Job,Degree or above,"Below 50,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Once in two weeks,1Km to 5Km,Both,3,4,4,4,2,5,4,4,3,"Keep it Simple, More value added services, Better User Interface",Yes
05/11/2020 12:59:03,Male,19 -30,Kalutara,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,3,3,2,2,4,4,4,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 12:59:05,Female,19 -30,Matara,Government Job,Degree or above,"Below 50,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Weekly,1Km to 5Km,Both,2,2,2,2,2,2,2,4,3,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 13:00:01,Male,19 -30,Matara,Private Sector Job,Degree or above,"200,000+",Self,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Once in two weeks,more than 5Km,Both,4,4,4,4,4,4,4,5,5,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 13:00:06,Female,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Once in two weeks,100m to 1Km,Both,3,3,2,4,5,5,5,4,4,"Keep it Simple, Better User Interface",Yes
05/11/2020 13:00:09,Male,19 -30,Kalutara,Private Sector Job,Degree or above,"100,000 - 150,000",Advertisement,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Monthly,more than 5Km,Both,4,4,4,4,5,5,5,3,4,"Keep it Simple, Add more features",Yes
05/11/2020 13:02:19,Male,31 - 40,Hambantota,Private Sector Job,Degree or above,"200,000+",Self,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Weekly,1Km to 5Km,Both,1,1,2,2,4,5,5,5,1,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 13:03:26,Female,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Internet or Article,One year to five years,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, International payments",Monthly,100m to 1Km,Both,4,4,4,5,5,5,5,4,4,"Add more features, Better User Interface, Free demo by the banks",Yes
05/11/2020 13:22:52,Male,19 -30,Colombo,Private Sector Job,Degree or above,"200,000+",Involved with development of mobile banking applications,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Once in two weeks,more than 5Km,Both,5,5,5,5,5,5,5,5,5,"Keep it Simple, Better User Interface",Yes
05/11/2020 13:36:43,Male,31 - 40,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,5 years or more,An addition,Both,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,1Km to 5Km,Both,3,3,3,3,3,3,3,3,3,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 13:38:54,Male,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, Investments",Weekly,100m to 1Km,Both,2,2,2,2,2,1,2,4,4,"Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 13:41:09,Female,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Advertisement,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Weekly,1Km to 5Km,Both,3,3,3,3,3,4,2,4,4,"Keep it Simple, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 13:53:00,Male,19 -30,Kalutara,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Weekly,1Km to 5Km,Both,4,4,5,5,5,5,4,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 13:58:31,Male,31 - 40,Colombo,Private Sector Job,Diploma,"200,000+",Friends,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Daily,100m to 1Km,Both,3,3,4,4,4,4,4,5,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 14:05:58,Female,19 -30,Colombo,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts",Monthly,more than 5Km,Both,4,4,3,3,4,5,3,3,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 14:19:26,Male,19 -30,Colombo,Private Sector Job,Degree or above,"150,000 to 200,000",Friends,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,more than 5Km,Both,4,4,4,4,4,5,3,4,4,"Keep it Simple, Add more features, Lightweight and speed, Better User Interface",Yes
05/11/2020 14:19:55,Female,19 -30,Ratnapura,Government Job,Degree or above,"Below 50,000",Internet or Article,One year to five years,Frimi,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Open Fixed deposits",Daily,100m to 1Km,Both,3,3,4,5,5,5,3,4,4,"Keep it Simple, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
05/11/2020 14:45:19,Female,19 -30,Colombo,Student,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Weekly,100m to 1Km,Both,3,3,3,3,3,4,4,5,4,"Keep it Simple, Add more features, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 14:49:57,Male,19 -30,Colombo,Private Sector Job,Degree or above,"200,000+",Friends,Less than a year,An addition,Savings Account,Private,"Checking bank balance, Pay utility bills",Weekly,100m to 1Km,Both,1,1,1,2,3,4,3,4,2,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 14:50:03,Female,19 -30,Polonnaruwa,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Once in two weeks,less than 100m,Both,4,4,4,4,4,4,4,5,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 15:18:33,Female,19 -30,Kalutara,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Weekly,1Km to 5Km,Both,2,3,2,2,2,5,3,5,4,"Keep it Simple, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 15:23:44,Female,19 -30,Colombo,Student,Degree or above,"Below 50,000",Bank,Less than a year,An addition,Current account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits",Once in two weeks,100m to 1Km,Both,5,5,5,5,5,5,5,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 16:04:32,Male,51 - 60,Puttalam,Government Job,Degree or above,"100,000 - 150,000",Bank,Less than a year,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Both,3,4,4,4,4,4,4,5,5,"Keep it Simple, More value added services",Yes
05/11/2020 16:52:20,Male,19 -30,Badulla,Government Job,Degree or above,"150,000 to 200,000",Bank,One year to five years,An addition,Both,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Monthly,more than 5Km,Both,3,4,5,5,5,5,4,4,4,"Keep it Simple, Lightweight and speed, More value added services",Yes
05/11/2020 17:00:09,Male,31 - 40,Vavuniya,Government Job,Degree or above,"50,000 - 100,000",Self,One year to five years,An addition,Both,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,100m to 1Km,Both,5,4,4,4,4,5,4,5,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 17:08:37,Female,19 -30,Colombo,Private Sector Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Both,"Transfer money to the other accounts, Pay utility bills, International payments",Once in two weeks,more than 5Km,Both,2,2,1,1,1,1,2,4,4,"Keep it Simple, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 17:09:34,Male,31 - 40,Kandy,Government Job,Degree or above,"50,000 - 100,000",Internet or Article,5 years or more,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments, Credit Card Payment , Insurance Payment.",Daily,1Km to 5Km,Both,3,4,4,4,4,4,3,4,4,"Keep it Simple, Add more features, More value added services, Free demo by the banks",Yes
05/11/2020 17:19:28,Male,Above 60,Colombo,Government Job,Degree or above,"150,000 to 200,000",Advertisement,Less than a year,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Monthly,100m to 1Km,Send,3,3,3,3,3,4,2,3,3,"Keep it Simple, Better User Interface",Yes
05/11/2020 17:25:04,Female,41 - 50,Colombo,Government Job,Degree or above,"100,000 - 150,000",Advertisement,One year to five years,An addition,Both,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,3,3,4,4,4,3,4,3,4,"Keep it Simple, Add more features, More value added services, Better User Interface",Yes
05/11/2020 17:34:43,Female,19 -30,Kurunegala,Private Sector Job,Degree or above,"100,000 - 150,000",Bank,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,4,4,3,1,5,5,4,4,3,"Keep it Simple, Add more features, Lightweight and speed",Yes
05/11/2020 17:46:52,Female,19 -30,Gampaha,Student,Degree or above,"200,000+",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments, mobile phone reloads",Weekly,1Km to 5Km,Both,3,3,3,3,4,4,2,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface",Yes
05/11/2020 17:46:59,Male,31 - 40,Colombo,Government Job,Degree or above,"50,000 - 100,000",Friends,One year to five years,An addition,Both,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,more than 5Km,Both,4,4,4,4,4,5,3,4,3,"Add more features, More value added services, Better User Interface",Yes
05/11/2020 17:55:30,Female,19 -30,Galle,Government Job,Degree or above,"Below 50,000",Bank,Less than a year,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts",Monthly,100m to 1Km,Both,1,1,1,1,1,2,2,5,3,Keep it Simple,Yes
05/11/2020 18:09:41,Female,31 - 40,Galle,Government Job,Diploma,"50,000 - 100,000",Bank,One year to five years,An addition,Savings Account,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, Open Fixed deposits, International payments",Monthly,more than 5Km,Both,1,1,1,1,2,1,1,3,3,More value added services,Yes
05/11/2020 18:15:23,Male,19 -30,Kurunegala,Private Sector Job,Degree or above,"100,000 - 150,000",Internet or Article,One year to five years,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Once in two weeks,1Km to 5Km,Both,4,4,4,4,4,5,3,5,4,"Keep it Simple, Add more features, Better User Interface",Yes
05/11/2020 18:30:21,Female,31 - 40,Galle,Government Job,Degree or above,"50,000 - 100,000",Bank,One year to five years,An addition,Both,Both,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Weekly,100m to 1Km,Both,4,5,5,5,5,5,5,4,4,"Keep it Simple, Add more features, Lightweight and speed, More value added services, Better User Interface, Free demo by the banks",Yes
05/11/2020 18:41:09,Male,19 -30,Gampaha,Private Sector Job,Diploma,"200,000+",Self,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Transfer money to the other accounts, Pay utility bills",Daily,1Km to 5Km,Both,3,3,3,3,2,2,2,3,3,"Keep it Simple, Add more features, Better User Interface",Maybe
05/11/2020 18:44:28,Male,41 - 50,Colombo,foreign employee ,Degree or above,"200,000+",Bank,5 years or more,An addition,Savings Account,Government,"Checking bank balance, Pay utility bills",Rarely,1Km to 5Km,Send,1,2,1,1,1,3,3,5,1,"Keep it Simple, Better User Interface",No
05/11/2020 19:04:50,Male,41 - 50,Colombo,Self-Employed,Degree or above,"200,000+",Self,5 years or more,An addition,Savings Account,Private,"Checking bank balance, Pay utility bills",Rarely,1Km to 5Km,Both,2,2,2,2,3,2,3,5,2,"Keep it Simple, Lightweight and speed",No
05/11/2020 19:25:34,Female,19 -30,Badulla,Student,Degree or above,"50,000 - 100,000",Internet or Article,Less than a year,An addition,Savings Account,Government,"Checking bank balance, Transfer money to the other accounts, Pay utility bills, International payments",Once in two weeks,100m to 1Km,Both,4,4,5,2,3,5,2,4,4,"Keep it Simple, Lightweight and speed, Better User Interface, Free demo by the banks",Yes
